,trading_symbol,exchange,exchange_token
48735,EXCELINDUS,NSE,11471
76565,EXICOM,NSE,22947
12004,EXIDEIND,NSE,676
38766,EXPLEOSOL,NSE,17486
11337,EXXARO,NSE,5352
45298,FACT,NSE,1008
63349,FAIRCHEMOR,NSE,1614
21939,FAZE3Q,NSE,12000
47289,FCL,NSE,6198
72254,FCSSOFT,NSE,11999
40234,FDC,NSE,4898
52989,FEDERALBNK,NSE,1023
89883,FEDFINA,NSE,20322
51364,FIBERWEB,NSE,8159
2777,FIEMIND,NSE,13710
89712,FILATEX,NSE,24532
36554,FINCABLES,NSE,1038
16779,FINEORG,NSE,3744
22165,FINIETF,NSE,12578
72850,FINOPB,NSE,6579
78449,FINPIPE,NSE,1041
31833,FIRSTCRY,NSE,24814
39279,FIVESTAR,NSE,12032
90392,FLAIR,NSE,20372
35638,FLUOROCHEM,NSE,13750
73474,FMCGIETF,NSE,5306
86772,FMGOETZE,NSE,1190
33468,FOCUS,NSE,6836
89980,FOODSIN,NSE,6673
9268,FORCEMOT,NSE,11573
47569,FORTIS,NSE,14592
19904,FOSECOIND,NSE,1073
67168,FSL,NSE,14304
91397,FUSION,NSE,11932
12623,G1NSETEST,NSE,12842
25734,GABRIEL,NSE,1085
44099,GAEL,NSE,8828
82020,GAIL,NSE,4717
58439,GALAPREC,NSE,25134
65039,GALAXYSURF,NSE,1315
84036,GALLANTT,NSE,13337
50025,GANDHAR,NSE,20303
75593,GANDHITUBE,NSE,14116
46673,GANECOS,NSE,6944
91684,GANESHBE,NSE,5614
88289,GANESHHOUC,NSE,14339
85842,GANGAFORGE,NSE,4957
67498,GANGESSECU,NSE,21399
65770,GARFIBRES,NSE,1100
67146,GARUDA,NSE,25800
39695,GATECH,NSE,17888
24766,GATEWAY,NSE,8510
36320,GEECEE,NSE,13658
88350,GEEKAYWIRE,NSE,17922
25489,GENCON,NSE,2188
43538,GENESYS,NSE,10905
46725,GENSOL,NSE,17010
45610,GENUSPAPER,NSE,6600
15587,GENUSPOWER,NSE,11905
75114,GEOJITFSL,NSE,11896
24374,GEPIL,NSE,7862
67885,GESHIP,NSE,13776
30085,GFLLIMITED,NSE,1289
22239,GHCL,NSE,1127
9426,GHCLTEXTIL,NSE,16696
78894,GICHSGFIN,NSE,1139
20491,GICRE,NSE,277
36951,GILLETTE,NSE,1576
12238,GILT5YBEES,NSE,3172
68347,GINNIFILA,NSE,1142
10060,GIPCL,NSE,1145
57497,GLAND,NSE,1186
71933,GLAXO,NSE,1153
85156,GLENMARK,NSE,7406
60256,GLOBAL,NSE,1415
65244,GLOBE,NSE,393
23865,GLOBUSSPR,NSE,17424
47912,GLOSTERLTD,NSE,23590
19472,GMBREW,NSE,1168
47046,GMDCLTD,NSE,5204
52340,GMMPFAUDLR,NSE,1570
56779,GMRAIRPORT,NSE,13528
9195,GMRP&UI,NSE,8529
10456,GNA,NSE,18571
78825,GNFC,NSE,1174
37469,GOACARBON,NSE,14687
30678,GOCLCORP,NSE,3963
90430,GOCOLORS,NSE,6964
82270,GODFRYPHLP,NSE,1181
25934,GODIGIT,NSE,23799
19475,GODREJAGRO,NSE,144
11575,GODREJCP,NSE,10099
83923,GODREJIND,NSE,10925
45116,GODREJPROP,NSE,17875
10286,GOKEX,NSE,11778
17213,GOKUL,NSE,16705
496,GOKULAGRO,NSE,14480
13771,GOLD1,NSE,14858
10149,GOLDBEES,NSE,14428
35500,GOLDCASE,NSE,22901
63217,GOLDETF,NSE,14286
36002,GOLDETFADD,NSE,15356
86537,GOLDIAM,NSE,11971
81088,GOLDIETF,NSE,19679
44609,GOLDSHARE,NSE,14535
72727,GOLDTECH,NSE,9874
52898,GOODLUCK,NSE,6125
24039,GOPAL,NSE,23066
2175,GOYALALUM,NSE,11787
44344,GPIL,NSE,13409
48629,GPPL,NSE,19731
74155,GPTHEALTH,NSE,22846
55896,GPTINFRA,NSE,17685
47814,GRANULES,NSE,11872
29200,GRAPHITE,NSE,592
53791,GRASIM,NSE,1232
74255,GRAVITA,NSE,20534
13367,GREAVESCOT,NSE,1235
21992,GREENLAM,NSE,6848
87515,GREENPANEL,NSE,13810
68422,GREENPLY,NSE,3987
63667,GREENPOWER,NSE,20110
79990,GRINDWELL,NSE,13560
3441,GRINFRA,NSE,5054
39549,GRMOVER,NSE,10871
65334,GROBTEA,NSE,17770
88953,GROWWDEFNC,NSE,25758
88813,GROWWEV,NSE,24798
89216,GROWWGOLD,NSE,25872
88937,GROWWLIQID,NSE,25447
90167,GROWWN200,NSE,29872
89629,GROWWRAIL,NSE,29527
66272,GRPLTD,NSE,6543
76847,GRSE,NSE,5475
24530,GRWRHITECH,NSE,7982
68328,GSEC10ABSL,NSE,24847
72682,GSEC10IETF,NSE,13143
61313,GSEC10YEAR,NSE,14938
19662,GSEC5IETF,NSE,8342
17170,GSFC,NSE,1247
41986,GSLSU,NSE,14599
80623,GSPL,NSE,13197
18723,GSS,NSE,15347
14183,GTL,NSE,1162
14876,GTLINFRA,NSE,13745
21,GTPL,NSE,21195
89262,GUFICBIO,NSE,11606
81378,GUJALKALI,NSE,1267
62410,GUJAPOLLO,NSE,14677
85951,GUJGASLTD,NSE,10599
53986,GUJTHEM,NSE,29731
65574,GULFOILLUB,NSE,4391
12316,GULFPETRO,NSE,11581
67247,GULPOLY,NSE,6286
66414,GVPTECH,NSE,10865
83483,GVT&D,NSE,16783
77066,HAL,NSE,2303
22778,HAPPSTMNDS,NSE,48
78003,HAPPYFORGE,NSE,20854
81001,HARIOMPIPE,NSE,8968
45615,HARRMALAYA,NSE,1313
68609,HARSHA,NSE,11162
34721,HATHWAY,NSE,18154
40270,HATSUN,NSE,3892
64784,HAVELLS,NSE,9819
58749,HAVISHA,NSE,7457
53454,HBLENGINE,NSE,13966
72759,HBSL,NSE,4116
83700,HCC,NSE,1375
41454,HCG,NSE,15555
38350,HCL-INSYS,NSE,1327
50220,HCLTECH,NSE,7229
62683,HDFCAMC,NSE,4244
83162,HDFCBANK,NSE,1333
49219,HDFCBSE500,NSE,14230
64238,HDFCGOLD,NSE,19543
50128,HDFCGROWTH,NSE,11241
22548,HDFCLIFE,NSE,467
51862,HDFCLIQUID,NSE,18279
52883,HDFCLOWVOL,NSE,11547
52873,HDFCMID150,NSE,14236
52787,HDFCMOMENT,NSE,11538
52950,HDFCNEXT50,NSE,10619
52919,HDFCNIF100,NSE,10633
52778,HDFCNIFBAN,NSE,22433
52640,HDFCNIFIT,NSE,12101
64270,HDFCNIFTY,NSE,11591
52844,HDFCPSUBK,NSE,22595
52724,HDFCPVTBAN,NSE,12108
50093,HDFCQUAL,NSE,11255
52761,HDFCSENSEX,NSE,11593
47613,HDFCSILVER,NSE,10876
49134,HDFCSML250,NSE,14233
50152,HDFCVALUE,NSE,11260
35814,HEALTHADD,NSE,22592
82651,HEALTHIETF,NSE,3626
52529,HEALTHY,NSE,6297
11514,HECPROJECT,NSE,7425
6041,HEG,NSE,1336
26289,HEIDELBERG,NSE,2316
75274,HEMIPROP,NSE,701
67681,HERCULES,NSE,15288
24794,HERITGFOOD,NSE,4598
25534,HEROMOTOCO,NSE,1348
9180,HESTERBIO,NSE,7048
48785,HEUBACHIND,NSE,715
70411,HEXATRADEX,NSE,27008
75555,HEXT,NSE,29666
55524,HFCL,NSE,21951
63157,HGINFRA,NSE,1672
34135,HGS,NSE,14712
42881,HIKAL,NSE,9668
8618,HIL,NSE,1455
45919,HILTON,NSE,14627
87964,HIMATSEIDE,NSE,1360
45039,HINDALCO,NSE,1363
31004,HINDCOMPOS,NSE,1372
23763,HINDCOPPER,NSE,17939
38786,HINDMOTORS,NSE,21676
75107,HINDOILEXP,NSE,1403
30972,HINDPETRO,NSE,1406
22171,HINDUNILVR,NSE,1394
59634,HINDWAREAP,NSE,15883
6040,HINDZINC,NSE,1424
65846,HIRECT,NSE,13890
33640,HISARMETAL,NSE,19322
28602,HITECH,NSE,2868
26557,HITECHCORP,NSE,15161
16522,HLEGLAS,NSE,2289
72007,HLVLTD,NSE,1448
42073,HMAAGRO,NSE,17053
80218,HMVL,NSE,19211
62734,HNDFDS,NSE,12173
10097,HNGSNGBEES,NSE,18284
86161,HOMEFIRST,NSE,2056
89670,HONASA,NSE,19813
64115,HONAUT,NSE,3417
64594,HONDAPOWER,NSE,3138
9597,HOVS,NSE,13592
74321,HPAL,NSE,7376
60546,HPIL,NSE,11796
62331,HPL,NSE,18679
81765,HSCL,NSE,14334
3825,HTMEDIA,NSE,11979
27010,HUBTOWN,NSE,14203
45300,HUDCO,NSE,20825
88257,HUHTAMAKI,NSE,2562
65248,HYBRIDFIN,NSE,12809
