,buyamt,buyavgrt,buyqty,closerate,costvalue,df_amount,df_qty,fmc_310118,isin,ltpl,ltpl_ntax,ltpl_tax,mktrate,mtmvalue,opamt,opqty,sellamt,sellavgrt,sellqty,share,stock,stpl,sttax
83,0.0,0.0,0,0.0,0.0,0.0,0,536.7,INE387A01021,0.0,0,0.0,0.0,0.0,151334.08,148,163111.72,1102.106216,148,[500403] SUNDRMFA,0,11777.64,0
84,573795.44,1668.01,344,0.0,0.0,0.0,0,594.9,INE044A01036,0.0,0,0.0,0.0,0.0,0.0,0,596847.26,1735.021105,344,[524715] SUNPHARM,0,23051.82,0
85,776926.3500000001,1601.91,485,0.0,0.0,0.0,0,0.0,INE806T01020,0.0,0,0.0,0.0,0.0,0.0,0,848735.0,349.993814,2425,[543397] SAPPHIRE,-1940,-607171.95,0
86,1376429.05,383.406421,3590,0.0,0.0,0.0,0,0.0,INE00QT01015,0.0,0,0.0,0.0,0.0,0.0,0,1469460.75,409.320543,3590,[541929] SYNERGY,0,93031.7,0
87,308742.1700000001,929.946295,332,0.0,0.0,0.0,0,0.0,INE05ST01028,0.0,0,0.0,0.0,0.0,0.0,0,342756.8,103.24,3320,[543218] SURATWWA,-2988,-274466.49,0
88,2273853.0,651.533811,3490,0.0,0.0,0.0,0,0.0,INE572J01011,0.0,0,0.0,0.0,0.0,0.0,0,1841303.9,527.594241,3490,[542759] SPANDANA,0,-432549.1,0
89,744320.02,1528.377864,487,0.0,0.0,0.0,0,0.0,INE932X01026,0.0,0,0.0,0.0,0.0,0.0,0,747416.7,306.94731,2435,[540725] SHARE IN,-1948,-594822.44,0
90,406069.22,391.580733,1037,0.0,0.0,0.0,0,0.0,INE0R6Z01013,0.0,0,0.0,0.0,0.0,0.0,0,343902.08,331.631707,1037,[544158] SRM CONT,0,-62167.14,0
91,0.0,0.0,0,0.0,0.0,0.0,0,0.0,INE00QT20015,0.0,0,0.0,0.0,0.0,0.0,0,28054.11,78.145153,359,[750905] SYNERGY,-359,0.0,0
92,625569.7000000002,2316.924815,270,2176.88,1023134.8,0.0,0,1404.95,INE721A01047,0.0,0,0.0,642.3,-1442507.6,397565.1,200,0.0,0.0,0,[511218] SHRIRAMF,470,0.0,0
93,1139200.62,902.694628,1262,0.0,0.0,0.0,0,400.95,INE155A01022,0.0,0,0.0,0.0,0.0,0.0,0,1039622.98,823.79,1262,[500570] TATAMOTO,0,-99577.64,0
94,1331297.45,423.98008,3140,0.0,0.0,0.0,0,91.2,INE245A01021,0.0,0,0.0,0.0,0.0,0.0,0,1373748.6,437.499554,3140,[500400] TATAPOWE,0,42451.15,0
95,148797.2,464.99125,320,0.0,0.0,0.0,0,108.6,INE716B01029,0.0,0,0.0,0.0,0.0,0.0,0,226570.5,708.032813,320,[532375] TIPS,0,77773.3,0
96,680050.05,2345.000172,290,0.0,0.0,0.0,0,712.0,INE494B01023,0.0,0,0.0,0.0,0.0,0.0,0,705217.5,2431.784483,290,[532343] TVSMOTOR,0,25167.45,0
97,0.0,0.0,0,0.0,0.0,0.0,0,0.0,INE578C01021,0.0,0,0.0,0.0,0.0,0.0,0,6503.99,17.251963,377,[500421] TPI INDI,-377,0.0,0
98,1789146.3,1158.023495,1545,1163.66,1236970.58,0.0,0,596.0,INE238A01034,0.0,0,0.0,1045.25,-251739.66,0.0,0,571933.98,1186.585021,482,[532215] AXISBANK,1063,19758.26,0
99,647259.14,51.089994,12669,0.0,0.0,0.0,0,0.0,INE735W01017,0.0,0,0.0,0.0,0.0,0.0,0,619711.11,48.915551,12669,[543942] UTKARSH,0,-27548.03,0
100,594322.21,1580.644176,376,0.0,0.0,0.0,0,616.0,INE226A01021,0.0,0,0.0,0.0,0.0,0.0,0,652828.94,1736.247181,376,[500575] VOLTAS,0,58506.73,0
101,1498646.33,130.51,11483,130.51,1498646.33,0.0,0,18.15,INE048C01025,0.0,0,0.0,121.85,-198885.56,0.0,0,0.0,0.0,0,[523796] VHLTD,11483,0.0,0
102,0.0,0.0,0,2135.01,53375.25,0.0,0,0.0,INE665J01013,0.0,0,0.0,0.0,-106750.5,53375.25,25,0.0,0.0,0,V-MART RETAIL LIM,25,0.0,0
103,0.0,0.0,0,0.0,0.0,0.0,0,0.0,INE048C20017,0.0,0,0.0,0.0,0.0,0.0,0,34563.97,4.300071,8038,[750932] VHLTD-RE,-8038,0.0,0
104,380417.4000000001,497.277647,765,0.0,0.0,0.0,0,0.0,INE0JO301016,0.0,0,0.0,0.0,0.0,0.0,0,350410.65,458.053137,765,[543950] YATHARTH,0,-30006.75,0
